Rank,Model,Test Acc,Test F1,Test Recall,ROC-AUC,Nov Acc,Train Time (s)
1,XGBoost,0.7245,0.4942,0.6622,0.7716,0.6500,12.9
2,LightGBM,0.7034,0.4785,0.6697,0.7587,0.6500,5.1
3,Gradient Boosting,0.8173,0.3008,0.1934,0.7573,0.7950,546.5
4,Random Forest,0.7156,0.4710,0.6229,0.7490,0.6650,99.9
5,Extra Trees,0.6792,0.4565,0.6629,0.7372,0.6150,79.0
6,Decision Tree,0.6623,0.4443,0.6642,0.7203,0.6000,10.5
7,KNN (k=15),0.8045,0.2811,0.1881,0.7132,0.7600,0.1
8,Logistic Regression,0.6487,0.4319,0.6571,0.7080,0.6100,1.2
9,Linear SVM,0.6478,0.4314,0.6575,0.7079,0.5950,3.5
10,AdaBoost,0.7968,0.0000,0.0000,0.7066,0.7950,267.7
